          K       ST1       ST2       ST3       ST4       SC1       SC2       SR1       SD1
          1      73.20     83.20     20.00     20.00      9.71    467.84    604.00     13.54
          2      71.98     81.98     20.60     20.00     33.90    473.18    604.00     25.63
          3      72.00     82.00     19.80     20.10     30.15    466.06    609.00     24.99
          4      72.00     82.00     20.00     20.00     30.85    467.84    620.00     25.00
          5      72.00     82.00     20.00     20.00     29.07    467.84    590.00     25.00
          6      72.00     82.00     20.50     20.00     25.50    472.29    530.00     25.00
          7      72.00     82.00     20.00     20.00     20.74    467.84    450.00     25.00
          8      72.00     82.00     20.00     20.20     18.98    467.84    420.00     25.00
          9      72.00     82.00     20.70     20.00     21.33    474.07    460.00     25.00
         10      72.00     82.00     20.00     20.00     22.52    467.84    480.00     25.00
         11      72.00     82.00     20.50     20.00     20.74    472.29    450.00     25.00
         12      72.00     82.00     19.00     20.30     22.56    458.93    480.00     25.00
         13      72.00     82.00     19.50     20.00     17.77    463.38    400.00     25.00
         14      72.00     82.00     20.00     20.00     20.74    467.84    450.00     25.00
         15      72.00     82.00     21.00     20.00     14.79    476.74    350.00     25.00
